frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
69, 0, 4.836, 0.98, 1, 62.881, 13.085, -574.9, -385.1, 1334.0, -14.174, -83.147, 17.859,0,29.89583333333328,737.5398703536541,60099.43400640939,2000
70, 0, 4.884, 0.88, 1, 60.531, 10.654, -555.9, -369.4, 1289.1, -12.739, -78.397, 22.388,0,2.8095238095238297,912.8396671387413,59514.97295648786,2000
71, 0, 4.926, 0.88, 1, 59.242, 8.391, -565.4, -375.1, 1304.2, -12.621, -75.204, 24.027,0,793.9361702127708,827.6378873188808,58995.63953344353,2000
72, 0, 4.973, 0.88, 1, 43.955, 23.688, -707.4, -487.6, 1600.9, 24.694, -48.287, 32.730,0,6.1384615384615255,710.8087777143396,1188.5459348064794,477.7371570921398
73, 0, 5.168, 0.93, 1, 41.675, 25.069, -706.1, -486.9, 1586.8, 25.891, -44.342, 30.180,0,0,592.5787848383598,1088.1264041036056,495.5476192652459
74, 0, 5.216, 0.93, 1, 34.443, 25.024, -732.9, -503.6, 1602.5, 24.876, -33.123, 22.692,0,0,439.4508613620567,913.8598035184318,474.40894215637513
75, 0, 5.342, 0.98, 1, 33.793, 23.334, -735.5, -505.3, 1607.7, 22.112, -32.672, 21.675,-56.79999999999926,21.85999999999969,439.4508613620567,695.4849769943203,256.0341156322636
76, 0, 5.392, 0.88, 1, 36.075, 23.785, -729.5, -499.5, 1601.5, 23.205, -35.512, 22.747,-30.367346938775817,6.775510204081718,412.3100435288965,727.4661858941731,315.15614236527665
77, 0, 5.441, 0.88, 1, 37.179, 23.959, -727.5, -497.6, 1599.1, 23.537, -37.000, 22.695,-62.42222222222227,80.57777777777794,545.0525877699961,791.0694904077645,246.01690263776845
78, 0, 5.486, 0.93, 1, 39.504, 26.861, -729.9, -496.9, 1604.1, 27.163, -39.809, 23.473,-51.24999999999997,68.16666666666657,531.230949030442,648.4337422241675,117.20279319372548
79, 0, 5.534, 0.93, 1, 41.605, 28.950, -726.1, -493.1, 1597.1, 30.435, -42.269, 24.159,-69.76000000000023,88.92000000000034,518.7726668090958,4366.442830999462,2000
80, 0, 5.584, 0.93, 1, 44.727, 31.641, -718.3, -486.0, 1583.2, 34.881, -45.757, 25.664,-37.27659574468043,27.999999999999698,264.5455554598242,4254.087713989096,2000
81, 0, 5.631, 0.98, 1, 46.269, 32.516, -724.9, -490.0, 1600.5, 36.197, -47.509, 25.845,-32.82000000000008,52.660000000000096,218.90636458523383,4183.415228556053,2000
82, 0, 5.681, 0.98, 1, 47.739, 33.810, -732.6, -492.1, 1621.7, 38.830, -49.150, 27.237,-22.021276595744897,45.36170212765996,169.41338503177943,4306.609945548554,2000
83, 0, 5.728, 0.93, 1, 48.685, 34.749, -728.7, -486.5, 1614.2, 40.962, -50.185, 28.698,-30.660000000000135,31.040000000000102,149.20881651577523,4373.856192510472,2000
84, 0, 5.778, 0.93, 1, 49.862, 35.087, -727.6, -483.6, 1615.4, 42.514, -51.718, 29.456,0,41.65217391304317,73.70219478737934,4583.910210966821,2000
85, 0, 5.824, 0.93, 1, 50.077, 36.387, -714.3, -472.9, 1589.9, 44.430, -51.390, 31.974,-27.14814814814803,16.537037037036967,73.70219478737934,4780.967307958998,2000
86, 0, 5.878, 0.93, 1, 51.121, 36.655, -708.4, -469.1, 1581.0, 45.323, -52.856, 33.539,0,0,0,4842.712618185341,2000
87, 0, 5.926, 0.88, 1, -15.598, 30.582, 273.1, -287.0, 730.9, 27.227, 10.108, 20.706,0,30.843434343434435,4.995919421487694,4842.712618185341,2000
88, 0, 6.124, 0.98, 1, -17.982, 36.050, 266.4, -280.8, 716.3, 33.334, 11.510, 18.677,0,232.512195121949,14.600410461356399,5011.139644829262,2000
89, 0, 6.165, 0.98, 1, -23.286, 43.003, 255.9, -264.5, 695.4, 42.867, 15.736, 15.548,0,40.77272727272774,22.177818107558366,362.6543936935836,340.4765755860252
90, 0, 6.209, 0.98, 1, -24.676, 44.815, 253.6, -261.1, 690.7, 44.661, 16.358, 14.862,0,55.44186046511609,22.03862469592534,315.04459082216147,293.0059661262361
91, 0, 6.252, 0.98, 1, -26.278, 46.406, 250.2, -256.2, 683.5, 47.045, 17.523, 14.083,0,19.735849056603787,41.30480467050706,100.67075706138904,59.36595239088198
92, 0, 6.305, 0.98, 1, -27.045, 47.130, 247.5, -253.1, 677.8, 48.091, 17.970, 13.786,0,25.27659574468058,39.82199188248677,86.17249804890444,46.350506166417674
93, 0, 6.352, 0.98, 1, -27.969, 48.033, 244.3, -249.8, 672.3, 49.279, 18.588, 13.276,0,1.2608695652174047,51.457822559603336,39.400882064231595,0
94, 0, 6.398, 0.98, 1, -28.026, 48.057, 242.6, -248.9, 670.7, 49.337, 18.703, 13.287,0,2.2272727272726796,47.0936827161337,40.060519946944474,0
95, 0, 6.442, 0.98, 1, -28.217, 48.186, 240.6, -248.6, 669.6, 49.435, 18.904, 13.215,0,7.299999999999923,35.1841256431698,40.90025925925953,5.716133616089728
96, 0, 6.492, 0.98, 1, -28.331, 48.280, 237.9, -247.8, 666.4, 49.800, 19.211, 12.780,-7.068181818181882,0,48.79198387386792,38.7652345679016,0
97, 0, 6.536, 0.98, 1, -27.529, 47.644, 234.4, -248.7, 666.4, 49.085, 18.900, 12.616,-10.617021276595583,0,73.02861191491084,38.7652345679016,0
98, 0, 6.583, 0.98, 1, -26.799, 47.284, 232.1, -248.5, 665.3, 48.622, 18.401, 12.470,-10.888888888888872,19.688888888888982,70.9474857336519,38.7652345679016,0
99, 0, 6.628, 0.98, 1, -26.290, 47.516, 225.7, -247.0, 660.4, 49.508, 17.911, 11.435,-6.1224489795919155,0,95.3679058336581,0,0
100, 0, 6.677, 0.98, 1, -25.657, 47.017, 222.8, -247.1, 660.6, 48.831, 17.611, 11.056,-18.260869565217284,0,72.70644238411823,0,0
101, 0, 6.723, 0.98, 1, -24.247, 45.955, 217.3, -249.2, 665.3, 47.552, 16.771, 10.572,-10.333333333333346,0,106.89440982621917,0,0
102, 0, 6.768, 0.98, 1, -23.479, 45.484, 213.3, -250.6, 666.9, 46.866, 16.306, 10.132,-19.909090909090718,0,81.99679867986912,0,0
103, 0, 6.812, 0.98, 1, -22.240, 44.744, 208.8, -251.2, 666.3, 45.901, 15.430, 9.531,-15.711111111111112,0,81.75407955491508,0,0
104, 0, 6.857, 0.98, 1, -21.013, 43.890, 205.9, -253.8, 670.9, 44.602, 14.723, 8.607,-12.288888888888927,0,147.41249210480504,96.10000000000072,0
105, 0, 6.902, 0.98, 1, -19.530, 43.484, 199.9, -258.8, 677.6, 44.150, 14.170, 6.887,-29.347826086956346,0,199.6186744128728,98.99971771021393,0
106, 0, 6.948, 0.98, 1, -17.850, 42.997, 195.0, -260.4, 677.6, 43.069, 12.820, 5.740,-32.227272727273046,0,204.72991388357383,98.99971771021393,0
107, 0, 6.992, 0.98, 1, -15.690, 41.464, 191.6, -267.8, 688.1, 41.460, 11.402, 4.245,-22.02272727272746,0,245.1220065701934,98.99971771021393,0
108, 0, 7.036, 0.98, 1, -14.613, 41.194, 188.3, -268.8, 686.1, 40.945, 10.433, 2.676,-35.837837837837064,0,305.67206720237664,98.99971771021393,0
109, 0, 7.073, 0.98, 1, -13.214, 40.726, 186.2, -270.0, 685.8, 40.080, 9.107, 1.891,-26.04444444444448,0,326.1543844067424,109.76099743810516,0
110, 0, 7.118, 0.93, 1, -12.077, 40.471, 184.7, -271.1, 685.4, 39.584, 7.935, 1.338,-41.63636363636402,0,336.358975837071,109.76099743810516,0
111, 0, 7.162, 0.93, 1, -10.330, 39.401, 183.2, -273.1, 685.8, 37.980, 6.103, 1.155,-25.88636363636334,0,297.68239265689937,109.76099743810516,0
112, 0, 7.206, 0.93, 1, -9.351, 39.241, 182.7, -274.2, 686.5, 37.610, 4.964, 1.324,-33.46808510638319,0,337.22662399978213,109.76099743810516,0
113, 0, 7.253, 0.98, 1, -7.803, 38.777, 180.7, -272.2, 680.6, 36.782, 3.391, 1.119,0,31.000000000000117,326.2432161349093,109.76099743810516,0
114, 0, 7.298, 0.98, 1, -7.224, 39.911, 179.7, -274.6, 683.8, 38.177, 3.568, -0.987,0,9.836734693877462,326.2432161349093,31.363192449442344,0
115, 0, 7.347, 0.93, 1, -8.016, 39.794, 179.5, -278.0, 689.7, 38.659, 4.960, -1.816,-15.270833333333595,0,307.43650609446337,25.153960000000136,0
116, 0, 7.395, 0.88, 1, -7.640, 38.898, 174.1, -278.3, 686.2, 37.935, 4.227, -0.890,-44.6829268292679,0,318.57709186580723,25.153960000000136,0
117, 0, 7.436, 0.88, 1, -6.234, 38.275, 167.9, -273.8, 671.1, 36.674, 2.395, -0.812,0,0,94974.20822076841,25.153960000000136,0
118, 0, 7.485, 0.98, 1, -6.192, 37.469, 164.0, -272.4, 663.5, 35.529, 2.925, -2.486,0,15.860000000000042,94870.03816675636,39.43324853023032,0
