frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
97,0,3.203,0.98,1,1.971,32.139,591,-114.9,1439.6,26.068,-4.433,5.599,0,6.029411765,70.922691,31.69072837,0
98,0,3.237,0.98,1,1.982,32.799,592.1,-114.9,1442,26.273,-4.112,5.421,0,7.121212121,70.922691,31.55948095,0
99,0,3.27,0.98,1,1.714,32.796,592.8,-114.8,1443.9,26.508,-3.905,5.407,-3.303030303,0,70.922691,30.20995259,0
100,0,3.303,0.98,1,1.837,32.553,593.1,-114.6,1444,26.414,-4.014,5.465,0,0,72.50603903,29.25477455,0
101,0,3.337,0.98,1,-1.635,29.685,594.2,-114.5,1447.1,25.746,-3.211,5.544,-26.39393939,0,72.50603903,29.25477455,0
102,0,3.37,0.98,1,-5.109,25.059,601,-115.2,1464.1,25.288,-4.082,5.798,0,0,8.731401993,29.25477455,20.52337255
103,0,3.403,0.98,1,-5.909,24.575,600.8,-114.8,1464.4,25.15,-3.61,5.957,0,0,16.18030817,50.22765486,34.0473467
104,0,3.437,0.98,1,-4.349,27.273,597.3,-114.3,1455.4,24.911,-3.536,6.039,-9.393939394,17.78787879,15.97950213,48.42159426,32.44209213
105,0,3.47,0.98,1,-5.687,27.718,595.3,-113.9,1450,25.498,-3.846,6.01,-0.647058824,2.617647059,11.03072677,31.02498408,19.99425731
106,0,3.504,0.98,1,-3.109,33.783,593.5,-113.4,1445.3,25.587,-3.868,5.943,0,3.787878788,17.72246071,32.75875401,15.0362933
107,0,3.537,0.98,1,-2.967,35.051,593.5,-113.1,1445.2,25.712,-3.655,5.882,0,5.757575758,17.72246071,32.76336103,15.04090032
108,0,3.57,0.98,1,-0.488,36.249,593.2,-113,1444.2,25.902,-3.518,5.825,0,2.382352941,17.25100102,34.02560318,16.77460216
109,0,3.604,0.98,1,0.286,35.75,593.1,-113,1443.9,25.983,-3.446,5.784,0,5.424242424,16.55545495,33.93434982,17.37889488
110,0,3.637,0.98,1,-0.024,36.214,592.5,-112.6,1442.4,26.162,-3.299,5.827,0,0,17.23671041,33.55712983,16.32041943
111,0,3.67,0.98,1,0.071,36.338,592.4,-112.5,1442.1,26.079,-3.298,5.791,0,0,17.23671041,33.55712983,16.32041943
112,0,3.704,0.98,1,0.514,36.116,593.1,-112.5,1442.9,25.857,-3.155,5.831,-9.818181818,19.27272727,25.23381875,33.55712983,8.323311088
113,0,3.737,0.98,1,1.41,32.966,595,-112.6,1447.6,26.493,-3.479,5.792,-0.515151515,1.636363636,23.29276781,2.578386968,0
114,0,3.77,0.98,1,1.628,33.491,594.3,-112.4,1445.9,26.547,-3.496,5.854,-5.382352941,3.323529412,23.72593789,5.966450611,0
115,0,3.804,0.98,1,1.748,33.737,593.9,-112.1,1444.6,26.66,-3.679,5.853,-10,0,24.98826969,6.508128893,0
116,0,3.837,0.98,1,2.202,33.093,593.9,-112.2,1444.4,26.469,-4.009,5.972,0,3.735294118,23.10704772,6.508128893,0
117,0,3.871,0.98,1,2.539,33.216,592.9,-112,1441.7,26.596,-3.809,5.939,-1,0,23.10704772,6.569496025,0
118,0,3.904,0.98,1,2.66,33.447,592.8,-111.9,1440.7,26.542,-3.842,5.926,-1.606060606,2.787878788,64.0811218,6.569496025,0
119,0,3.937,0.98,1,2.626,33.201,592.8,-112.1,1440.1,26.634,-3.895,5.884,-7.235294118,2.911764706,63.483142,6.706708914,0
120,0,3.971,0.98,1,2.565,32.603,593.4,-111.8,1440.5,26.733,-4.141,6.002,0,0,66.25932249,6.62553821,0
121,0,4.004,0.98,1,1.389,32.651,592.3,-111.5,1437.4,26.688,-4.071,6.119,-13.72727273,0,69.77312254,6.62553821,0
122,0,4.037,0.98,1,2.594,32.619,592.1,-111.4,1436,26.476,-4.524,6.307,-1.205882353,0,63.75373977,6.480522396,0
123,0,4.071,0.98,1,2.875,32.534,592.8,-111.5,1436.6,26.041,-4.565,6.426,0,7.242424242,62.56881323,6.480522396,0
124,0,4.104,0.98,1,2.609,33.184,592.1,-111.1,1434.6,26.28,-4.37,6.342,0,4.606060606,66.63889554,2.274063871,0
125,0,4.137,0.98,1,2.336,32.816,592.9,-111.2,1436.1,26.432,-4.329,6.239,-8.558823529,0,59.04055924,2.905264769,0
126,0,4.171,0.98,1,2.544,33.152,593.6,-111.4,1437,26.202,-4.62,6.293,0,0,59.23832117,2.905264769,0
